shipment_id,shipment_date,carrier,origin_city,destination_city,weight_kg,delivery_days,status,product_category,shipping_cost_usd,delivery_notes,weight_kg_flag,delivery_days_flag
SHP-0000001,2024-09-20,FedEx,Abuja,Accra,3.67,18,Pending,Electronics,7.26,"Delayed due to customs clearance.",0,0
SHP-0000002,2023-06-07,Aramex,"Benin City",Dakar,106.31,16,Pending,"Automotive Parts",280.7,"Customer requested weekend delivery.",0,0
SHP-0000003,2023-07-30,FedEx,"Port Harcourt",Johannesburg,76.98,2,Delayed,Apparel,333.23,,0,0
SHP-0000004,2024-02-15,Aramex,Ibadan,Dakar,119.71,2,"In Transit","Books & Media",317.75,"Address correction applied.",0,0
SHP-0000005,NULL,XpressBees,Enugu,Dakar,500,6,Delayed,Cosmetics,3100.61,"Returned to sender: recipient not found.",1,0
SHP-0000006,2022-01-01,FedEx,Ibadan,Johannesburg,58.58,5,Lost,Cosmetics,162.23,,0,0
SHP-0000007,2024-12-07,DTDC,"Benin City",Johannesburg,58.9,2,Pending,"Automotive Parts",150.77,"Weather delay in transit hub.",0,0
SHP-0000008,2024-06-14,"Blue Dart",Kaduna,Dakar,118.11,11,"In Transit",Furniture,242.18,"Fragile items — handle carefully.",0,0
SHP-0000009,2023-11-20,DHL,Kano,Casablanca,60.28,15,Delayed,Cosmetics,151.13,"Package handled with care.",0,0
SHP-0000010,2024-06-18,DHL,"Port Harcourt",Kampala,81.19,19,Lost,Toys,198.84,"Priority shipment.",0,0
SHP-0000011,2023-01-06,Delhivery,Unknown,Kigali,25.97,3,"In Transit",Cosmetics,86.61,"Package handled with care.",0,0
SHP-0000012,2024-11-03,UPS,Abuja,Cairo,24.83,16,Delivered,"Books & Media",40.53,"Address correction applied.",0,0
SHP-0000013,2022-09-09,DHL,"Port Harcourt","Addis Ababa",37.34,2,"In Transit","Industrial Equipment",155.05,"Customer requested weekend delivery.",0,0
SHP-0000014,2023-01-03,Unknown,Enugu,Dakar,32.38,2,Returned,"Automotive Parts",112.69,"Fragile items — handle carefully.",0,0
SHP-0000015,2023-03-10,XpressBees,Lagos,"Dar es Salaam",13.45,11,Delivered,Toys,21.97,"Returned to sender: recipient not found.",0,0
SHP-0000016,2024-12-02,DTDC,Enugu,Nairobi,49.3,5,Returned,Pharmaceuticals,146.91,"Address correction applied.",0,0
SHP-0000017,2022-11-23,Delhivery,Kano,Cairo,74.5,8,"In Transit",Electronics,217.94,"Left at front door per customer instruction.",0,0
SHP-0000018,2024-09-05,Ekart,Lagos,Nairobi,83.66,4,Delayed,Cosmetics,363.93,,0,0
SHP-0000019,2024-02-24,UPS,"Benin City",Johannesburg,58.41,10,Lost,Pharmaceuticals,209.22,"Left at front door per customer instruction.",0,0
SHP-0000020,2023-05-30,Ekart,Lagos,Kigali,500,14,Lost,Furniture,2885.11,,1,0
SHP-0000021,2023-09-21,Unknown,Kaduna,Accra,22.22,15,Returned,"Books & Media",806.38,"Priority shipment.",0,0
SHP-0000022,2022-12-15,DHL,Kano,Kigali,67.89,12,Delayed,Pharmaceuticals,123.85,,0,0
SHP-0000023,2023-08-07,Delhivery,Ibadan,Kigali,5.41,3,Returned,Apparel,13.99,"Customer requested weekend delivery.",0,0
SHP-0000024,2023-11-08,XpressBees,"Benin City",Kigali,10.86,15,Unknown,"Industrial Equipment",23.2,"Weather delay in transit hub.",0,0
